Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
141,Conserve6,12.0,10,6.0,10,11.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
142,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
143,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
144,Conserve6,12.0,10,6.0,8,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
145,Conserve6,12.0,10,6.0,10,10.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
146,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
147,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
148,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
149,Conserve6,12.0,10,6.0,10,11.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
150,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
151,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
152,Conserve6,12.0,10,6.0,7,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
153,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
154,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
155,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
156,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
157,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
158,Conserve6,12.0,10,6.0,10,11.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
159,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
160,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
161,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
162,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
163,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
164,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
165,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
166,Conserve6,12.0,10,6.0,9,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
167,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
168,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
169,Conserve6,12.0,10,6.0,10,10.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
170,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
