Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
140,4BetAllInAt12Dollars,12.0,10,12.0,5,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
141,4BetAllInAt12Dollars,12.0,10,12.0,6,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
142,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
143,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
144,4BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
145,4BetAllInAt12Dollars,12.0,10,12.0,4,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
146,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
147,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
148,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
149,4BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
150,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
151,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
152,4BetAllInAt12Dollars,12.0,10,12.0,10,18.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
153,4BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
154,4BetAllInAt12Dollars,12.0,10,12.0,8,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
155,4BetAllInAt12Dollars,12.0,10,12.0,10,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
