Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
129,6AllInAt12Dollars,12.0,10,12.0,4,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
130,6AllInAt12Dollars,12.0,10,12.0,4,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
131,6AllInAt12Dollars,12.0,10,12.0,2,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
132,6AllInAt12Dollars,12.0,10,12.0,3,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
133,6AllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
134,6AllInAt12Dollars,12.0,10,12.0,2,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
135,6AllInAt12Dollars,12.0,10,12.0,6,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
136,6AllInAt12Dollars,12.0,10,12.0,2,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
137,6AllInAt12Dollars,12.0,10,12.0,2,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
138,6AllInAt12Dollars,12.0,10,12.0,1,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
139,6AllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
140,6AllInAt12Dollars,12.0,10,12.0,1,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
141,6AllInAt12Dollars,12.0,10,12.0,3,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
142,6AllInAt12Dollars,12.0,10,12.0,1,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
143,6AllInAt12Dollars,12.0,10,12.0,1,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
144,6AllInAt12Dollars,12.0,10,12.0,1,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
145,6AllInAt12Dollars,12.0,10,12.0,1,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
146,6AllInAt12Dollars,12.0,10,12.0,1,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
147,6AllInAt12Dollars,12.0,10,12.0,1,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
148,6AllInAt12Dollars,12.0,10,12.0,6,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
149,6AllInAt12Dollars,12.0,10,12.0,1,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
150,6AllInAt12Dollars,12.0,10,12.0,5,10.0,CRAB:2.0|DEER:2.0|FISH:2.0|GOURD:2.0|ROOSTER:2.0|SHRIMP:2.0
