Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
259,1BetAllInAt12Dollars,12,10,12,10,12,FISH:12.0
260,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
261,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
262,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
263,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
264,1BetAllInAt12Dollars,12,10,12,10,48,FISH:12.0
265,1BetAllInAt12Dollars,12,10,12,10,12,FISH:12.0
266,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
267,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
268,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
269,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
270,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
271,1BetAllInAt12Dollars,12,10,12,10,84,FISH:12.0
272,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
273,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
274,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
275,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
276,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
277,1BetAllInAt12Dollars,12,10,12,8,0,FISH:12.0
278,1BetAllInAt12Dollars,12,10,12,10,48,FISH:12.0
279,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
280,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
281,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
282,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
283,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
284,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
285,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
286,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
287,1BetAllInAt12Dollars,12,10,12,7,0,FISH:12.0
288,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
289,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
290,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
291,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
292,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
293,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
294,1BetAllInAt12Dollars,12,10,12,7,0,FISH:12.0
295,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
296,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
297,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
298,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
299,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
300,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
301,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
302,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
303,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
304,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
305,1BetAllInAt12Dollars,12,10,12,10,72,FISH:12.0
306,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
307,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
308,1BetAllInAt12Dollars,12,10,12,7,0,FISH:12.0
309,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
310,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
311,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
312,1BetAllInAt12Dollars,12,10,12,10,48,FISH:12.0
313,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
