Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
275,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
276,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
277,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
278,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
279,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
280,ConserveBet1,12.0,10,6.0,10,0.0,FISH:6.0
281,ConserveBet1,12.0,10,6.0,7,0.0,FISH:6.0
282,ConserveBet1,12.0,10,6.0,10,0.0,FISH:6.0
283,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
284,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
285,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
286,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
287,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
288,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
289,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
290,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
291,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
292,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
293,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
294,ConserveBet1,12.0,10,6.0,7,0.0,FISH:6.0
295,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
296,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
297,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
298,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
299,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
300,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
301,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
302,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
303,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
304,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
305,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
306,ConserveBet1,12.0,10,6.0,10,0.0,FISH:6.0
307,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
308,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
309,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
310,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
311,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
