Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
208,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
209,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
210,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
211,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
212,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
213,2BetAllInAt12Dollars,12.0,10,12.0,10,18.0,CRAB:6.0|FISH:6.0
214,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
215,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
216,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
217,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
218,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
219,2BetAllInAt12Dollars,12.0,10,12.0,5,6.0,CRAB:6.0|FISH:6.0
220,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
221,2BetAllInAt12Dollars,12.0,10,12.0,10,12.0,CRAB:6.0|FISH:6.0
222,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
223,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
224,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
225,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
226,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
227,2BetAllInAt12Dollars,12.0,10,12.0,10,48.0,CRAB:6.0|FISH:6.0
