Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
221,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
222,ConserveBet2,12.0,10,6.0,3,3.0,CRAB:3.0|FISH:3.0
223,ConserveBet2,12.0,10,6.0,8,3.0,CRAB:3.0|FISH:3.0
224,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
225,ConserveBet2,12.0,10,6.0,9,0.0,CRAB:3.0|FISH:3.0
226,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
227,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
228,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
229,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
230,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
231,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
232,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
233,ConserveBet2,12.0,10,6.0,7,0.0,CRAB:3.0|FISH:3.0
234,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
235,ConserveBet2,12.0,10,6.0,8,0.0,CRAB:3.0|FISH:3.0
236,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
237,ConserveBet2,12.0,10,6.0,8,0.0,CRAB:3.0|FISH:3.0
238,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
239,ConserveBet2,12.0,10,6.0,7,0.0,CRAB:3.0|FISH:3.0
240,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
241,ConserveBet2,12.0,10,6.0,10,27.0,CRAB:3.0|FISH:3.0
242,ConserveBet2,12.0,10,6.0,8,0.0,CRAB:3.0|FISH:3.0
243,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
244,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
245,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
246,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
247,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
248,ConserveBet2,12.0,10,6.0,10,24.0,CRAB:3.0|FISH:3.0
249,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
250,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
251,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
252,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
253,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
254,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
255,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
256,ConserveBet2,12.0,10,6.0,7,3.0,CRAB:3.0|FISH:3.0
257,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
258,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
259,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
260,ConserveBet2,12.0,10,6.0,10,3.0,CRAB:3.0|FISH:3.0
261,ConserveBet2,12.0,10,6.0,6,0.0,CRAB:3.0|FISH:3.0
262,ConserveBet2,12.0,10,6.0,6,0.0,CRAB:3.0|FISH:3.0
263,ConserveBet2,12.0,10,6.0,7,0.0,CRAB:3.0|FISH:3.0
264,ConserveBet2,12.0,10,6.0,10,9.0,CRAB:3.0|FISH:3.0
265,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
266,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
267,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
268,ConserveBet2,12.0,10,6.0,10,0.0,CRAB:3.0|FISH:3.0
269,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
270,ConserveBet2,12.0,10,6.0,7,3.0,CRAB:3.0|FISH:3.0
271,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
272,ConserveBet2,12.0,10,6.0,5,3.0,CRAB:3.0|FISH:3.0
273,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
274,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
275,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
276,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
277,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
278,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
279,ConserveBet2,12.0,10,6.0,8,3.0,CRAB:3.0|FISH:3.0
280,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
281,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
282,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
283,ConserveBet2,12.0,10,6.0,7,0.0,CRAB:3.0|FISH:3.0
284,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
285,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
286,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
287,ConserveBet2,12.0,10,6.0,10,9.0,CRAB:3.0|FISH:3.0
288,ConserveBet2,12.0,10,6.0,10,45.0,CRAB:3.0|FISH:3.0
289,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
290,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
291,ConserveBet2,12.0,10,6.0,9,0.0,CRAB:3.0|FISH:3.0
292,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
293,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
